annotated_time	inferred_time	samples
240	240.0	['GSM1606327']
270	258.0	['GSM1606328']
300	294.0	['GSM1606329']
330	324.0	['GSM1606330']
360	351.0	['GSM1606331']
390	378.0	['GSM1606332']
420	399.0	['GSM1606333']
450	432.0	['GSM1606334']
480	468.0	['GSM1606335']
510	504.0	['GSM1606336']
540	534.0	['GSM1606337']
570	561.0	['GSM1606338']
600	588.0	['GSM1606339']
630	591.0	['GSM1606340']
660	645.0	['GSM1606341']
690	678.0	['GSM1606342']
720	726.0	['GSM1606343']
750	747.0	['GSM1606344']
780	747.0	['GSM1606345']
810	753.0	['GSM1606346']
840	819.0	['GSM1606347']
870	843.0	['GSM1606348']
900	897.0	['GSM1606349']
930	936.0	['GSM1606350']
960	954.0	['GSM1606351']
990	954.0	['GSM1606352']
1020	996.0	['GSM1606353']
1050	996.0	['GSM1606354']
1080	1044.0	['GSM1606355']
1110	1116.0	['GSM1606356']
1140	1143.0	['GSM1606357']
1170	1176.0	['GSM1606358']
1200	1176.0	['GSM1606359']
1230	1200.0	['GSM1606360']
1260	1200.0	['GSM1606361']
1290	1275.0	['GSM1606362']
1320	1338.0	['GSM1606363']
1350	1488.0	['GSM1606364']
1380	1488.0	['GSM1606365']
1410	1488.0	['GSM1606366']
1440	1566.0	['GSM1606367']
