annotated_time	inferred_time	samples
40.0	54.0	['GSM1483736']
80.0	72.0	['GSM1483737']
120.0	162.0	['GSM1483738']
160.0	166.5	['GSM1483739']
200.0	175.5	['GSM1483740']
240.0	211.92	['GSM1483741']
280.0	219.9	['GSM1483742']
320.0	276.36	['GSM1483743']
360.0	287.4	['GSM1483744']
400.0	309.48	['GSM1483745']
440.0	319.5	['GSM1483746']
480.0	346.5	['GSM1483747']
520.0	360.0	['GSM1483748']
560.0	432.0	['GSM1483749']
600.0	480.0	['GSM1483750']
640.0	493.98	['GSM1483751']
680.0	507.96	['GSM1483752']
720.0	549.9	['GSM1483753']
760.0	577.86	['GSM1483754']
800.0	605.82	['GSM1483755']
840.0	755.88	['GSM1483756']
880.0	823.92	['GSM1483757']
920.0	857.94	['GSM1483758']
960.0	925.98	['GSM1483759']
1000.0	960.0	['GSM1483760']
1040.0	978.0	['GSM1483761']
1080.0	996.0	['GSM1483762']
1120.0	1050.0	['GSM1483763']
1160.0	1068.0	['GSM1483764']
1200.0	1104.0	['GSM1483765']
1240.0	1140.0	['GSM1483766']
1280.0	1170.0	['GSM1483767']
1320.0	1200.0	['GSM1483768']
1360.0	1230.0	['GSM1483769']
1400.0	1320.0	['GSM1483770']
1440.0	1320.0	['GSM1483771']
1480.0	1320.0	['GSM1483772']
1520.0	1350.0	['GSM1483773']
1560.0	1380.0	['GSM1483774']
1600.0	1440.0	['GSM1483775']
1640.0	1512.0	['GSM1483776']
1680.0	1512.0	['GSM1483777']
1720.0	1548.0	['GSM1483778']
1760.0	1620.0	['GSM1483779']
1800.0	1620.0	['GSM1483780']
1840.0	1656.0	['GSM1483781']
1880.0	1692.0	['GSM1483782']
1920.0	1728.0	['GSM1483783']
1960.0	1764.0	['GSM1483784']
2000.0	1800.0	['GSM1483785']
2040.0	1836.0	['GSM1483786']
2080.0	1836.0	['GSM1483787']
2120.0	1872.0	['GSM1483788']
2160.0	1872.0	['GSM1483789']
2200.0	1872.0	['GSM1483790']
2240.0	1908.0	['GSM1483791']
2280.0	1908.0	['GSM1483792']
2320.0	1944.0	['GSM1483793']
2360.0	1944.0	['GSM1483794']
2400.0	2016.0	['GSM1483795']
2440.0	2016.0	['GSM1483796']
2480.0	2052.0	['GSM1483797']
2520.0	2052.0	['GSM1483798']
2560.0	2052.0	['GSM1483799']
2600.0	2088.0	['GSM1483800']
2640.0	2088.0	['GSM1483801']
2680.0	2160.0	['GSM1483802']
2720.0	2304.0	['GSM1483803']
2760.0	2304.0	['GSM1483804']
2800.0	2304.0	['GSM1483805']
2840.0	2376.0	['GSM1483806']
2880.0	2376.0	['GSM1483807']
2920.0	2376.0	['GSM1483808']
2960.0	2376.0	['GSM1483809']
3000.0	2376.0	['GSM1483810']
3040.0	2448.0	['GSM1483811']
3080.0	2520.0	['GSM1483812']
3120.0	2520.0	['GSM1483813']
3160.0	2520.0	['GSM1483814']
3200.0	2520.0	['GSM1483815']
3240.0	2592.0	['GSM1483816']
3280.0	2592.0	['GSM1483817']
3320.0	2592.0	['GSM1483818']
3360.0	2592.0	['GSM1483819']
3400.0	2808.0	['GSM1483820']
3440.0	2808.0	['GSM1483821']
3480.0	2808.0	['GSM1483822']
3520.0	2880.0	['GSM1483823']
3560.0	2880.0	['GSM1483824']
3600.0	2880.0	['GSM1483825']
3640.0	2880.0	['GSM1483826']
3680.0	2880.0	['GSM1483827']
3720.0	2880.0	['GSM1483828']
3760.0	2880.0	['GSM1483829']
3800.0	3024.0	['GSM1483830']
3840.0	3024.0	['GSM1483831']
3880.0	3168.0	['GSM1483832']
3920.0	3168.0	['GSM1483833']
3960.0	3312.0	['GSM1483834']
4000.0	3312.0	['GSM1483835']
4040.0	3312.0	['GSM1483836']
4080.0	3312.0	['GSM1483837']
4120.0	3312.0	['GSM1483838']
4160.0	3312.0	['GSM1483839']
4200.0	3312.0	['GSM1483840']
4240.0	3312.0	['GSM1483841']
