annotated_time	inferred_time	samples
0.0	0.0	['1-cell-1', '1-cell-2', '1-cell-3', '1-cell-4', '1-cell-5']
45.0	40.5	['2-cell-1', '2-cell-2', '2-cell-3', '2-cell-4', '2-cell-5']
135.0	135.0	['128-cell-1', '128-cell-2', '128-cell-3', '128-cell-4', '128-cell-5']
180.0	171.0	['1k-cell-1', '1k-cell-2', '1k-cell-3', '1k-cell-4', '1k-cell-5']
259.8	259.8	['Dome-1', 'Dome-2', 'Dome-3', 'Dome-4', 'Dome-5']
315.0	319.5	['50pc-epiboly-1', '50pc-epiboly-2', '50pc-epiboly-3', '50pc-epiboly-4', '50pc-epiboly-5']
360.0	360.0	['Shield-1', 'Shield-2', 'Shield-3', 'Shield-4', 'Shield-5']
480.0	468.0	['75pc-epiboly-1', '75pc-epiboly-2', '75pc-epiboly-3', '75pc-epiboly-4', '75pc-epiboly-5']
619.8	653.82	['1-4-somites-1', '1-4-somites-2', '1-4-somites-3', '1-4-somites-4', '1-4-somites-5']
960.0	960.0	['14-19-somites-1', '14-19-somites-2', '14-19-somites-3', '14-19-somites-4', '14-19-somites-5']
1140.0	1122.0	['20-25-somites-1', '20-25-somites-2', '20-25-somites-3', '20-25-somites-4', '20-25-somites-5']
1440.0	1440.0	['Prim-5-1', 'Prim-5-2', 'Prim-5-3', 'Prim-5-4', 'Prim-5-5']
1800.0	1764.0	['Prim-15-1', 'Prim-15-2', 'Prim-15-3', 'Prim-15-4', 'Prim-15-5']
2160.0	2124.0	['Prim-25-1', 'Prim-25-2', 'Prim-25-3', 'Prim-25-4', 'Prim-25-5']
2880.0	2808.0	['Long-pec-1', 'Long-pec-2', 'Long-pec-3', 'Long-pec-4', 'Long-pec-5']
4320.0	4320.0	['Protruding-mouth-1', 'Protruding-mouth-2', 'Protruding-mouth-3', 'Protruding-mouth-4', 'Protruding-mouth-5']
5760.0	5760.0	['Day-4-1', 'Day-4-2', 'Day-4-3', 'Day-4-4', 'Day-4-5']
7200.0	7056.0	['Day-5-1', 'Day-5-2', 'Day-5-3', 'Day-5-4', 'Day-5-5']
