sample	assembly	technical_replicate	biological_replicate	batch	original_timepoint	mpf	hpf	stage
GSM2837568	GRCz11		5-9-somites	marletaz	12_hpf	720	12	5-9-somites
GSM2837569	GRCz11		14-19-somites	marletaz	16_hpf	960	16	14-19-somites
GSM2837570	GRCz11		20-25-somites	marletaz	20_hpf	1200	20	20-25-somites
GSM2837571	GRCz11		Prim-5	marletaz	26_hpf	1560	26	Prim-5
GSM2837572	GRCz11		64-cell	marletaz	2_hpf	120	2	64-cell
GSM2837573	GRCz11		Prim-15	marletaz	30_hpf	1800	30	Prim-15
GSM2837574	GRCz11		Prim-25	marletaz	36_hpf	2160	36	Prim-25
GSM2837575	GRCz11		Long-pec	marletaz	48_hpf	2880	48	Long-pec
GSM2837576	GRCz11		Shield	marletaz	6_hpf	360	6	Shield
GSM2837577	GRCz11		Protruding-mouth	marletaz	72_hpf	4320	72	Protruding-mouth
GSM2837578	GRCz11		75pc-epiboly	marletaz	8_hpf	480	8	75pc-epiboly
GSM1483736	GRCz11		1-cell	levin	40_mpf	40	0.67	1-cell
GSM1483737	GRCz11		8-cell	levin	80_mpf	80	1.33	8-cell
GSM1483738	GRCz11		64-cell	levin	120_mpf	120	2	64-cell
GSM1483739	GRCz11		256-cell	levin	160_mpf	160	2.67	256-cell
GSM1483740	GRCz11		High	levin	200_mpf	200	3.33	High
GSM1483741	GRCz11		Sphere	levin	240_mpf	240	4	Sphere
GSM1483742	GRCz11		30pc-epiboly	levin	280_mpf	280	4.67	30pc-epiboly
GSM1483743	GRCz11		50pc-epiboly	levin	320_mpf	320	5.33	50pc-epiboly
GSM1483744	GRCz11		Shield	levin	360_mpf	360	6	Shield
GSM1483745	GRCz11		Shield	levin	400_mpf	400	6.67	Shield
GSM1483746	GRCz11		Shield	levin	440_mpf	440	7.33	Shield
GSM1483747	GRCz11		75pc-epiboly	levin	480_mpf	480	8	75pc-epiboly
GSM1483748	GRCz11		75pc-epiboly	levin	520_mpf	520	8.67	75pc-epiboly
GSM1483749	GRCz11		90pc-epiboly	levin	560_mpf	560	9.33	90pc-epiboly
GSM1483750	GRCz11		Bud	levin	600_mpf	600	10	Bud
GSM1483751	GRCz11		1-4-somites	levin	640_mpf	640	10.67	1-4-somites
GSM1483752	GRCz11		1-4-somites	levin	680_mpf	680	11.33	1-4-somites
GSM1483753	GRCz11		5-9-somites	levin	720_mpf	720	12	5-9-somites
GSM1483754	GRCz11		5-9-somites	levin	760_mpf	760	12.67	5-9-somites
