sample	assembly	replicate	condition	batch	source	original_timepoint	mpf	hpf	stage
GSM1606183	Xenopus_tropicalis_v9.1		stage8	owens_clutchA_polyA_run1	owens	ClutchA_polyA_4_hpf	240	4.0	stage8
GSM1606184	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_4.5_hpf	270	4.5	stage9
GSM1606185	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_5_hpf	300	5.0	stage9
GSM1606186	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_5.5_hpf	330	5.5	stage9
GSM1606187	Xenopus_tropicalis_v9.1		stage9	owens_clutchA_polyA_run1	owens	ClutchA_polyA_6_hpf	360	6.0	stage9
GSM1606188	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_polyA_run1	owens	ClutchA_polyA_6.5_hpf	390	6.5	stage10
GSM1606189	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_polyA_run1	owens	ClutchA_polyA_7_hpf	420	7.0	stage10
GSM1606190	Xenopus_tropicalis_v9.1		stage10	owens_clutchA_polyA_run1	owens	ClutchA_polyA_7.5_hpf	450	7.5	stage10
GSM1606191	Xenopus_tropicalis_v9.1		stage11	owens_clutchA_polyA_run1	owens	ClutchA_polyA_8_hpf	480	8.0	stage11
GSM1606192	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_8.5_hpf	510	8.5	stage12
GSM1606193	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_9_hpf	540	9.0	stage12
GSM1606194	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_9.5_hpf	570	9.5	stage12
GSM1606195	Xenopus_tropicalis_v9.1		stage12	owens_clutchA_polyA_run1	owens	ClutchA_polyA_10_hpf	600	10.0	stage12
GSM1606196	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run1	owens	ClutchA_polyA_10.5_hpf	630	10.5	stage12.5
GSM1606197	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run1	owens	ClutchA_polyA_11_hpf	660	11.0	stage12.5
GSM1606198	Xenopus_tropicalis_v9.1		stage12.5	owens_clutchA_polyA_run1	owens	ClutchA_polyA_11.5_hpf	690	11.5	stage12.5
GSM1606199	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_polyA_run1	owens	ClutchA_polyA_12_hpf	720	12.0	stage13
GSM1606200	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_polyA_run1	owens	ClutchA_polyA_12.5_hpf	750	12.5	stage13
GSM1606201	Xenopus_tropicalis_v9.1		stage13	owens_clutchA_polyA_run1	owens	ClutchA_polyA_13_hpf	780	13.0	stage13
GSM1606202	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_polyA_run1	owens	ClutchA_polyA_13.5_hpf	810	13.5	stage14
GSM1606203	Xenopus_tropicalis_v9.1		stage14	owens_clutchA_polyA_run1	owens	ClutchA_polyA_14_hpf	840	14.0	stage14
GSM1606204	Xenopus_tropicalis_v9.1		stage15	owens_clutchA_polyA_run1	owens	ClutchA_polyA_14.5_hpf	870	14.5	stage15
GSM1606205	Xenopus_tropicalis_v9.1		stage17	owens_clutchA_polyA_run1	owens	ClutchA_polyA_15_hpf	900	15.0	stage17
GSM1606206	Xenopus_tropicalis_v9.1		stage19	owens_clutchA_polyA_run1	owens	ClutchA_polyA_15.5_hpf	930	15.5	stage19
GSM1606207	Xenopus_tropicalis_v9.1		stage20	owens_clutchA_polyA_run1	owens	ClutchA_polyA_16_hpf	960	16.0	stage20
GSM1606208	Xenopus_tropicalis_v9.1		stage21	owens_clutchA_polyA_run1	owens	ClutchA_polyA_16.5_hpf	990	16.5	stage21
GSM1606209	Xenopus_tropicalis_v9.1		stage21	owens_clutchA_polyA_run1	owens	ClutchA_polyA_17_hpf	1020	17.0	stage21
GSM1606210	Xenopus_tropicalis_v9.1		stage22	owens_clutchA_polyA_run1	owens	ClutchA_polyA_17.5_hpf	1050	17.5	stage22
GSM1606211	Xenopus_tropicalis_v9.1		stage22	owens_clutchA_polyA_run1	owens	ClutchA_polyA_18_hpf	1080	18.0	stage22
