sample	time
GSM1483736	40.0
GSM1483737	80.0
GSM1483738	120.0
GSM1483739	160.0
GSM1483740	200.0
GSM1483741	240.0
GSM1483742	280.0
GSM1483743	320.0
GSM1483744	360.0
GSM1483745	400.0
GSM1483746	440.0
GSM1483747	480.0
GSM1483748	520.0
GSM1483749	560.0
GSM1483750	600.0
GSM1483751	640.0
GSM1483752	680.0
GSM1483753	720.0
GSM1483754	760.0
GSM1483755	800.0
GSM1483756	840.0
GSM1483757	880.0
GSM1483758	920.0
GSM1483759	960.0
GSM1483760	1000.0
GSM1483761	1040.0
GSM1483762	1080.0
GSM1483763	1120.0
GSM1483764	1160.0
GSM1483765	1200.0
GSM1483766	1240.0
GSM1483767	1280.0
GSM1483768	1320.0
GSM1483769	1360.0
GSM1483770	1400.0
GSM1483771	1440.0
GSM1483772	1480.0
GSM1483773	1520.0
GSM1483774	1560.0
GSM1483775	1600.0
GSM1483776	1640.0
GSM1483777	1680.0
GSM1483778	1720.0
GSM1483779	1760.0
GSM1483780	1800.0
GSM1483781	1840.0
GSM1483782	1880.0
GSM1483783	1920.0
GSM1483784	1960.0
GSM1483785	2000.0
GSM1483786	2040.0
GSM1483787	2080.0
GSM1483788	2120.0
GSM1483789	2160.0
GSM1483790	2200.0
GSM1483791	2240.0
GSM1483792	2280.0
GSM1483793	2320.0
GSM1483794	2360.0
GSM1483795	2400.0
GSM1483796	2440.0
GSM1483797	2480.0
GSM1483798	2520.0
GSM1483799	2560.0
GSM1483800	2600.0
GSM1483801	2640.0
GSM1483802	2680.0
GSM1483803	2720.0
GSM1483804	2760.0
GSM1483805	2800.0
GSM1483806	2840.0
GSM1483807	2880.0
GSM1483808	2920.0
GSM1483809	2960.0
GSM1483810	3000.0
GSM1483811	3040.0
GSM1483812	3080.0
GSM1483813	3120.0
GSM1483814	3160.0
GSM1483815	3200.0
GSM1483816	3240.0
GSM1483817	3280.0
GSM1483818	3320.0
GSM1483819	3360.0
GSM1483820	3400.0
GSM1483821	3440.0
GSM1483822	3480.0
GSM1483823	3520.0
GSM1483824	3560.0
GSM1483825	3600.0
GSM1483826	3640.0
GSM1483827	3680.0
GSM1483828	3720.0
GSM1483829	3760.0
GSM1483830	3800.0
GSM1483831	3840.0
GSM1483832	3880.0
GSM1483833	3920.0
GSM1483834	3960.0
GSM1483835	4000.0
GSM1483836	4040.0
GSM1483837	4080.0
GSM1483838	4120.0
GSM1483839	4160.0
GSM1483840	4200.0
GSM1483841	4240.0
