sample	time
GSM1483736	1-cell
GSM1483737	8-cell
GSM1483738	64-cell
GSM1483739	256-cell
GSM1483740	High
GSM1483741	Sphere
GSM1483742	30pc-epiboly
GSM1483743	50pc-epiboly
GSM1483744	Shield
GSM1483745	Shield
GSM1483746	Shield
GSM1483747	75pc-epiboly
GSM1483748	75pc-epiboly
GSM1483749	90pc-epiboly
GSM1483750	Bud
GSM1483751	1-4-somites
GSM1483752	1-4-somites
GSM1483753	5-9-somites
GSM1483754	5-9-somites
GSM1483755	5-9-somites
GSM1483756	10-13-somites
GSM1483757	10-13-somites
GSM1483758	10-13-somites
GSM1483759	14-19-somites
GSM1483760	14-19-somites
GSM1483761	14-19-somites
GSM1483762	14-19-somites
GSM1483763	14-19-somites
GSM1483764	20-25-somites
GSM1483765	20-25-somites
GSM1483766	20-25-somites
GSM1483767	20-25-somites
GSM1483768	26-somites
GSM1483769	26-somites
GSM1483770	26-somites
GSM1483771	Prim-5
GSM1483772	Prim-5
GSM1483773	Prim-5
GSM1483774	Prim-5
GSM1483775	Prim-5
GSM1483776	Prim-5
GSM1483777	Prim-5
GSM1483778	Prim-5
GSM1483779	Prim-5
GSM1483780	Prim-15
GSM1483781	Prim-15
GSM1483782	Prim-15
GSM1483783	Prim-15
GSM1483784	Prim-15
GSM1483785	Prim-15
GSM1483786	Prim-15
GSM1483787	Prim-15
GSM1483788	Prim-15
GSM1483789	Prim-25
GSM1483790	Prim-25
GSM1483791	Prim-25
GSM1483792	Prim-25
GSM1483793	Prim-25
GSM1483794	Prim-25
GSM1483795	Prim-25
GSM1483796	Prim-25
GSM1483797	Prim-25
GSM1483798	High-pec
GSM1483799	High-pec
GSM1483800	High-pec
GSM1483801	High-pec
GSM1483802	High-pec
GSM1483803	High-pec
GSM1483804	High-pec
GSM1483805	High-pec
GSM1483806	High-pec
GSM1483807	Long-pec
GSM1483808	Long-pec
GSM1483809	Long-pec
GSM1483810	Long-pec
GSM1483811	Long-pec
GSM1483812	Long-pec
GSM1483813	Long-pec
GSM1483814	Long-pec
GSM1483815	Long-pec
GSM1483816	Long-pec
GSM1483817	Long-pec
GSM1483818	Long-pec
GSM1483819	Long-pec
GSM1483820	Long-pec
GSM1483821	Long-pec
GSM1483822	Long-pec
GSM1483823	Long-pec
GSM1483824	Long-pec
GSM1483825	Pec-fin
GSM1483826	Pec-fin
GSM1483827	Pec-fin
GSM1483828	Pec-fin
GSM1483829	Pec-fin
GSM1483830	Pec-fin
GSM1483831	Pec-fin
GSM1483832	Pec-fin
GSM1483833	Pec-fin
GSM1483834	Pec-fin
GSM1483835	Pec-fin
GSM1483836	Pec-fin
GSM1483837	Pec-fin
GSM1483838	Pec-fin
GSM1483839	Pec-fin
GSM1483840	Pec-fin
GSM1483841	Pec-fin
