sample	time
GSM1606183	stage8
GSM1606184	stage9
GSM1606185	stage9
GSM1606186	stage9
GSM1606187	stage9
GSM1606188	stage10
GSM1606189	stage10
GSM1606190	stage10
GSM1606191	stage11
GSM1606192	stage12
GSM1606193	stage12
GSM1606194	stage12
GSM1606195	stage12
GSM1606196	stage12.5
GSM1606197	stage12.5
GSM1606198	stage12.5
GSM1606199	stage13
GSM1606200	stage13
GSM1606201	stage13
GSM1606202	stage14
GSM1606203	stage14
GSM1606204	stage15
GSM1606205	stage17
GSM1606206	stage19
GSM1606207	stage20
GSM1606208	stage21
GSM1606209	stage21
GSM1606210	stage22
GSM1606211	stage22
GSM1606212	stage23
GSM1606213	stage24
GSM1606214	stage24
GSM1606215	stage24
GSM1606216	stage24
GSM1606217	stage25
GSM1606218	stage25
GSM1606219	stage25
GSM1606220	stage26
GSM1606221	stage26
GSM1606222	stage26
GSM1606223	stage27
GSM1606224	stage27
GSM1606225	stage27
GSM1606226	stage28
GSM1606227	stage28
GSM1606228	stage30
GSM1606229	stage31
GSM1606230	stage32
GSM1606231	stage32
GSM1606232	stage34
GSM1606233	stage34
GSM1606234	stage34
GSM1606235	stage35
