sample	time
GSM1606327	240
GSM1606328	270
GSM1606329	300
GSM1606330	330
GSM1606331	360
GSM1606332	390
GSM1606333	420
GSM1606334	450
GSM1606335	480
GSM1606336	510
GSM1606337	540
GSM1606338	570
GSM1606339	600
GSM1606340	630
GSM1606341	660
GSM1606342	690
GSM1606343	720
GSM1606344	750
GSM1606345	780
GSM1606346	810
GSM1606347	840
GSM1606348	870
GSM1606349	900
GSM1606350	930
GSM1606351	960
GSM1606352	990
GSM1606353	1020
GSM1606354	1050
GSM1606355	1080
GSM1606356	1110
GSM1606357	1140
GSM1606358	1170
GSM1606359	1200
GSM1606360	1230
GSM1606361	1260
GSM1606362	1290
GSM1606363	1320
GSM1606364	1350
GSM1606365	1380
GSM1606366	1410
GSM1606367	1440
