sample	time
GSM1606327	stage8
GSM1606328	stage9
GSM1606329	stage9
GSM1606330	stage9
GSM1606331	stage9
GSM1606332	stage10
GSM1606333	stage10
GSM1606334	stage10
GSM1606335	stage11
GSM1606336	stage12
GSM1606337	stage12
GSM1606338	stage12
GSM1606339	stage12
GSM1606340	stage12.5
GSM1606341	stage12.5
GSM1606342	stage12.5
GSM1606343	stage13
GSM1606344	stage13
GSM1606345	stage13
GSM1606346	stage14
GSM1606347	stage14
GSM1606348	stage15
GSM1606349	stage17
GSM1606350	stage19
GSM1606351	stage20
GSM1606352	stage21
GSM1606353	stage21
GSM1606354	stage22
GSM1606355	stage22
GSM1606356	stage23
GSM1606357	stage24
GSM1606358	stage24
GSM1606359	stage24
GSM1606360	stage24
GSM1606361	stage25
GSM1606362	stage25
GSM1606363	stage25
GSM1606364	stage26
GSM1606365	stage26
GSM1606366	stage26
GSM1606367	stage27
