sample	time
1-cell-1	0.0
1-cell-2	0.0
1-cell-3	0.0
1-cell-4	0.0
1-cell-5	0.0
2-cell-1	45.0
2-cell-2	45.0
2-cell-3	45.0
2-cell-4	45.0
2-cell-5	45.0
128-cell-1	135.0
128-cell-2	135.0
128-cell-3	135.0
128-cell-4	135.0
128-cell-5	135.0
1k-cell-1	180.0
1k-cell-2	180.0
1k-cell-3	180.0
1k-cell-4	180.0
1k-cell-5	180.0
Dome-1	259.8
Dome-2	259.8
Dome-3	259.8
Dome-4	259.8
Dome-5	259.8
50pc-epiboly-1	315.0
50pc-epiboly-2	315.0
50pc-epiboly-3	315.0
50pc-epiboly-4	315.0
50pc-epiboly-5	315.0
Shield-1	360.0
Shield-2	360.0
Shield-3	360.0
Shield-4	360.0
Shield-5	360.0
75pc-epiboly-1	480.0
75pc-epiboly-2	480.0
75pc-epiboly-3	480.0
75pc-epiboly-4	480.0
75pc-epiboly-5	480.0
1-4-somites-1	619.8
1-4-somites-2	619.8
1-4-somites-3	619.8
1-4-somites-4	619.8
1-4-somites-5	619.8
14-19-somites-1	960.0
14-19-somites-2	960.0
14-19-somites-3	960.0
14-19-somites-4	960.0
14-19-somites-5	960.0
20-25-somites-1	1140.0
20-25-somites-2	1140.0
20-25-somites-3	1140.0
20-25-somites-4	1140.0
20-25-somites-5	1140.0
Prim-5-1	1440.0
Prim-5-2	1440.0
Prim-5-3	1440.0
Prim-5-4	1440.0
Prim-5-5	1440.0
Prim-15-1	1800.0
Prim-15-2	1800.0
Prim-15-3	1800.0
Prim-15-4	1800.0
Prim-15-5	1800.0
Prim-25-1	2160.0
Prim-25-2	2160.0
Prim-25-3	2160.0
Prim-25-4	2160.0
Prim-25-5	2160.0
Long-pec-1	2880.0
Long-pec-2	2880.0
Long-pec-3	2880.0
Long-pec-4	2880.0
Long-pec-5	2880.0
Protruding-mouth-1	4320.0
Protruding-mouth-2	4320.0
Protruding-mouth-3	4320.0
Protruding-mouth-4	4320.0
Protruding-mouth-5	4320.0
Day-4-1	5760.0
Day-4-2	5760.0
Day-4-3	5760.0
Day-4-4	5760.0
Day-4-5	5760.0
Day-5-1	7200.0
Day-5-2	7200.0
Day-5-3	7200.0
Day-5-4	7200.0
Day-5-5	7200.0
