sample	time
1-cell-1	1-cell
1-cell-2	1-cell
1-cell-3	1-cell
1-cell-4	1-cell
1-cell-5	1-cell
2-cell-1	2-cell
2-cell-2	2-cell
2-cell-3	2-cell
2-cell-4	2-cell
2-cell-5	2-cell
128-cell-1	128-cell
128-cell-2	128-cell
128-cell-3	128-cell
128-cell-4	128-cell
128-cell-5	128-cell
1k-cell-1	1k-cell
1k-cell-2	1k-cell
1k-cell-3	1k-cell
1k-cell-4	1k-cell
1k-cell-5	1k-cell
Dome-1	Dome
Dome-2	Dome
Dome-3	Dome
Dome-4	Dome
Dome-5	Dome
50pc-epiboly-1	50pc-epiboly
50pc-epiboly-2	50pc-epiboly
50pc-epiboly-3	50pc-epiboly
50pc-epiboly-4	50pc-epiboly
50pc-epiboly-5	50pc-epiboly
Shield-1	Shield
Shield-2	Shield
Shield-3	Shield
Shield-4	Shield
Shield-5	Shield
75pc-epiboly-1	75pc-epiboly
75pc-epiboly-2	75pc-epiboly
75pc-epiboly-3	75pc-epiboly
75pc-epiboly-4	75pc-epiboly
75pc-epiboly-5	75pc-epiboly
1-4-somites-1	1-4-somites
1-4-somites-2	1-4-somites
1-4-somites-3	1-4-somites
1-4-somites-4	1-4-somites
1-4-somites-5	1-4-somites
14-19-somites-1	14-19-somites
14-19-somites-2	14-19-somites
14-19-somites-3	14-19-somites
14-19-somites-4	14-19-somites
14-19-somites-5	14-19-somites
20-25-somites-1	20-25-somites
20-25-somites-2	20-25-somites
20-25-somites-3	20-25-somites
20-25-somites-4	20-25-somites
20-25-somites-5	20-25-somites
Prim-5-1	Prim-5
Prim-5-2	Prim-5
Prim-5-3	Prim-5
Prim-5-4	Prim-5
Prim-5-5	Prim-5
Prim-15-1	Prim-15
Prim-15-2	Prim-15
Prim-15-3	Prim-15
Prim-15-4	Prim-15
Prim-15-5	Prim-15
Prim-25-1	Prim-25
Prim-25-2	Prim-25
Prim-25-3	Prim-25
Prim-25-4	Prim-25
Prim-25-5	Prim-25
Long-pec-1	Long-pec
Long-pec-2	Long-pec
Long-pec-3	Long-pec
Long-pec-4	Long-pec
Long-pec-5	Long-pec
Protruding-mouth-1	Protruding-mouth
Protruding-mouth-2	Protruding-mouth
Protruding-mouth-3	Protruding-mouth
Protruding-mouth-4	Protruding-mouth
Protruding-mouth-5	Protruding-mouth
Day-4-1	Day-4
Day-4-2	Day-4
Day-4-3	Day-4
Day-4-4	Day-4
Day-4-5	Day-4
Day-5-1	Day-5
Day-5-2	Day-5
Day-5-3	Day-5
Day-5-4	Day-5
Day-5-5	Day-5
