original_time	inferred_time
240.0	240.0
270.0	264.0
300.0	297.0
330.0	330.0
360.0	360.0
390.0	387.0
420.0	423.0
450.0	450.0
480.0	477.0
510.0	510.0
540.0	537.0
570.0	567.0
600.0	603.0
630.0	630.0
660.0	669.0
690.0	678.0
720.0	729.0
750.0	753.0
780.0	786.0
810.0	804.0
840.0	840.0
870.0	870.0
900.0	903.0
930.0	939.0
960.0	954.0
990.0	987.0
1020.0	1026.0
1050.0	1050.0
1080.0	1080.0
1110.0	1107.0
1140.0	1137.0
1170.0	1170.0
1200.0	1206.0
1230.0	1230.0
1260.0	1254.0
1290.0	1254.0
1320.0	1344.0
1350.0	1353.0
1380.0	1374.0
1410.0	1398.0
1440.0	1434.0
1500.0	1524.0
1560.0	1578.0
1620.0	1608.0
1680.0	1680.0
1740.0	1716.0
1800.0	1824.0
1860.0	1860.0
1920.0	1926.0
1980.0	1962.0
2040.0	2034.0
2100.0	2106.0
2160.0	2136.0
