original_time	inferred_time
240.0	240.0
270.0	249.0
300.0	285.0
330.0	315.0
360.0	351.0
390.0	372.0
420.0	402.0
450.0	432.0
480.0	474.0
510.0	495.0
540.0	531.0
570.0	555.0
600.0	588.0
630.0	597.0
660.0	642.0
690.0	681.0
720.0	732.0
750.0	741.0
780.0	741.0
810.0	741.0
840.0	822.0
870.0	858.0
900.0	882.0
930.0	927.0
960.0	945.0
990.0	945.0
1020.0	987.0
1050.0	987.0
1080.0	1035.0
1110.0	1128.0
1140.0	1146.0
1170.0	1149.0
1200.0	1149.0
1230.0	1152.0
1260.0	1152.0
1290.0	1245.0
1320.0	1338.0
1350.0	1422.0
1380.0	1428.0
1410.0	1428.0
1440.0	1476.0
