original_time	inferred_time
40.0	56.25
80.0	56.25
120.0	70.31
160.0	70.31
200.0	70.31
240.0	70.31
280.0	70.31
320.0	70.31
360.0	182.81
400.0	182.81
440.0	182.81
480.0	267.19
520.0	492.19
560.0	492.19
600.0	492.19
640.0	492.19
680.0	956.25
720.0	956.25
760.0	956.25
800.0	956.25
840.0	956.25
880.0	956.25
920.0	956.25
960.0	956.25
1000.0	956.25
1040.0	956.25
1080.0	956.25
1120.0	956.25
1160.0	956.25
1200.0	970.31
1240.0	970.31
1280.0	970.31
1320.0	970.31
1360.0	970.31
1400.0	970.31
1440.0	1870.31
1480.0	1870.31
1520.0	1870.31
1560.0	1870.31
1600.0	1912.5
1640.0	1912.5
1680.0	1912.5
1720.0	1926.56
1760.0	1926.56
1800.0	1926.56
1840.0	1926.56
1880.0	1926.56
1920.0	1926.56
1960.0	2039.06
2000.0	2039.06
2040.0	2039.06
2080.0	2109.38
2120.0	2109.38
2160.0	2109.38
2200.0	2109.38
2240.0	2137.5
2280.0	2137.5
2320.0	2137.5
2360.0	2137.5
2400.0	2151.56
2440.0	2151.56
2480.0	2151.56
2520.0	2151.56
2560.0	2151.56
2600.0	2151.56
2640.0	2151.56
2680.0	2151.56
2720.0	2151.56
2760.0	2151.56
2800.0	2151.56
2840.0	2151.56
2880.0	2151.56
2920.0	2151.56
2960.0	2151.56
3000.0	2151.56
3040.0	2151.56
3080.0	2151.56
3120.0	2151.56
3160.0	2151.56
3200.0	2151.56
3240.0	2151.56
3280.0	2151.56
3320.0	2151.56
3360.0	2151.56
3400.0	2151.56
3440.0	2151.56
3480.0	2151.56
3520.0	2151.56
3560.0	2151.56
3600.0	2151.56
3640.0	2151.56
3680.0	2151.56
3720.0	2151.56
3760.0	2151.56
3800.0	2151.56
3840.0	2151.56
3880.0	2151.56
3920.0	2151.56
3960.0	2151.56
4000.0	2151.56
4040.0	2151.56
4080.0	2151.56
4120.0	2151.56
4160.0	2151.56
4200.0	2151.56
4240.0	2151.56
