original_time	inferred_time
1-cell	2-cell+3/10
8-cell	2-cell+4/10
64-cell	2-cell+5/10
256-cell	2-cell+5/10
High	2-cell+5/10
Sphere	2-cell+5/10
30pc-epiboly	2-cell+5/10
50pc-epiboly	2-cell+5/10
Shield	1k-cell+5/10
75pc-epiboly	75pc-epiboly+5/10
90pc-epiboly	75pc-epiboly+7/10
Bud	75pc-epiboly+7/10
1-4-somites	75pc-epiboly+7/10
5-9-somites	14-19-somites+1/10
10-13-somites	14-19-somites+2/10
14-19-somites	14-19-somites+3/10
20-25-somites	14-19-somites+5/10
26-somites	14-19-somites+7/10
Prim-5	Prim-15+9/10
Prim-15	Prim-15+9/10
Prim-25	Prim-25
High-pec	Prim-25+1/10
Long-pec	Prim-25+2/10
Pec-fin	Prim-25+2/10
